Point ID,vtkOriginalPointIds,Points_0,Points_1,Points_2,Points_Magnitude
132,47495,18.985,-50.6092,221.155,227.664
133,47501,20.4353,-48.6248,220.769,226.982
134,47502,19.7809,-49.4554,221.365,227.683
135,47503,20.2991,-48.5173,221.754,227.905
136,47504,19.2063,-49.9932,222.208,228.57
137,47509,20.7847,-47.6987,221.688,227.712
138,47510,21.2324,-46.8382,221.691,227.578
139,47511,20.8826,-47.9188,220.608,226.716
140,47512,21.6762,-46.3914,220.627,226.492
141,47513,21.2777,-47.1885,220.622,226.613
142,47518,21.695,-45.8169,221.753,227.474
143,47519,22.1632,-45.2871,220.628,226.315
144,47520,22.2349,-44.4774,221.704,227.212
145,47521,22.5461,-44.215,220.677,226.189
146,47527,22.7447,-43.1803,221.188,226.508
147,47528,22.63,-42.9051,221.966,227.204
148,47529,23.0028,-41.8366,221.362,226.452
149,47533,23.2386,-40.0611,221.5,226.29
150,47534,22.9359,-40.9018,222.241,227.135
151,47539,23.0967,-39.1657,222.386,226.986
152,47540,23.4216,-38.8385,221.242,225.842
153,47541,23.1628,-38.253,222.371,226.823
154,47542,23.3447,-37.6184,221.773,226.149
155,47543,23.6159,-37.658,220.715,225.147
156,47548,23.4901,-36.3497,221.289,225.481
157,47549,23.2222,-36.5016,222.287,226.458
158,47550,23.1729,-35.3877,222.423,226.41
159,47551,23.6103,-35.4401,220.762,224.831
160,47555,23.2845,-33.6911,221.736,225.486
161,47556,23.3236,-34.7975,221.782,225.703
162,47557,23.5197,-33.4194,220.786,224.536
163,47558,23.5665,-34.3556,220.771,224.667
164,47563,23.0816,-33.2152,222.498,226.145
165,47564,23.2671,-32.537,221.73,225.309
166,47565,23.0758,-31.8607,222.372,225.825
167,47566,23.4885,-32.379,220.799,224.393
168,47567,23.1743,-31.0687,221.733,225.095
169,47568,23.4248,-31.369,220.772,224.217
170,47572,23.2921,-30.2536,220.74,224.018
171,47573,22.9297,-30.2243,222.309,225.523
172,47574,22.7315,-29.0032,222.24,225.274
173,47575,23.0511,-29.5557,221.331,224.482
174,47580,22.4419,-27.2205,221.383,224.177
175,47581,22.4641,-27.9277,222.229,225.1
176,47582,22.1468,-26.9306,222.256,224.975
177,47583,22.8311,-28.5013,221.275,224.268
178,47584,22.6814,-27.4218,220.514,223.367
179,47589,22.2916,-26.3598,220.655,223.339
180,47590,21.874,-25.3291,220.693,223.216
181,47591,21.8824,-25.8815,221.734,224.31
182,47592,21.4483,-24.9022,221.814,224.236
183,47597,21.2006,-24.1565,221.355,223.676
184,47598,20.3926,-23.0211,222.111,224.23
185,47599,20.6895,-23.1699,221.195,223.365
186,47607,20.106,-22.2354,221.093,223.116
187,47608,19.6344,-21.7723,221.715,223.645
188,47609,18.7947,-20.76,221.881,223.641
189,47628,17.9268,-19.9028,222.272,223.88
190,47796,11.5307,-56.5428,222.778,230.13
191,47797,10.1776,-56.6855,224.53,231.798
192,47798,10.967,-56.5339,223.843,231.132
193,47799,12,-56.0093,223.774,230.989
194,47800,13.8951,-54.9803,223.207,230.298
195,47801,12.7503,-55.7624,223.125,230.341
196,47802,13.5348,-54.8237,224.417,231.413
197,47803,13.0391,-55.3532,223.86,230.971
198,47809,14.9078,-54.3596,222.729,229.75
199,47810,14.3565,-54.44,223.826,230.798
200,47811,15.1052,-53.852,223.793,230.677
201,47812,15.9446,-52.9472,224.209,230.927
202,47813,16.1631,-53.1312,223.175,229.981
203,47814,16.7311,-52.3982,223.658,230.323
204,47821,17.368,-51.9278,223.124,229.744
205,47822,16.9337,-51.8845,224.39,230.932
206,47823,18.2029,-50.4909,224.225,230.559
207,47824,18.1179,-51.007,223.269,229.736
208,47825,17.4844,-51.2518,224.447,230.887
209,47831,18.9033,-50.0407,223.156,229.478
210,47832,19.7825,-48.9426,222.736,228.907
211,47833,19.1456,-49.4115,223.801,229.989
212,47834,19.7701,-48.4286,223.845,229.875
213,47840,20.3871,-47.9261,222.766,228.773
214,47841,20.2618,-47.5207,223.947,229.828
215,47842,20.8247,-46.9119,223.135,228.962
216,47843,21.2417,-46.2997,222.69,228.442
217,47844,20.8318,-46.27,224.135,229.808
218,47849,21.6421,-45.3078,222.803,228.391
219,47850,21.3271,-45.3015,223.903,229.433
220,47851,21.714,-44.2642,223.884,229.249
221,47852,22.038,-44.252,222.782,228.201
222,47857,22.3496,-43.1697,222.795,228.037
223,47858,22.0317,-43.1704,223.907,229.093
224,47859,22.2936,-42.038,223.897,228.897
225,47860,22.6084,-42.0199,222.777,227.83
226,47865,22.6474,-40.9255,223.286,228.132
227,47866,22.4125,-40.941,224.118,228.926
228,47867,22.6786,-39.6343,223.758,228.369
229,47868,22.9064,-39.9025,222.824,227.525
230,47873,22.8538,-38.0641,223.529,227.896
231,47874,22.5943,-38.6982,224.339,228.77
232,47879,22.9879,-35.8374,223.14,227.166
233,47880,23.0252,-37.0831,223.001,227.233
234,47881,22.7718,-36.7158,223.94,228.07
